Tiempo,NumeroJoints,G_parcial
1.5257,4,-0.736794561312839
1.5357,4,-0.7485191113125894
1.5458,4,-0.7307210133011237
1.5558,4,-0.725769199721947
1.5659,4,-0.7188445223551447
1.576,4,-0.7925764266807446
1.586,4,-0.35102488530395154
1.5961,4,0.748738311073543
1.6062,4,-0.49553864581351303
1.6163,4,-0.8704806156808241
1.6265,4,-0.9016208375126967
1.6366,4,-0.8526649206724952
1.6467,4,0.14863146092451
1.6569,4,-1.5408013620663925
1.6669,4,-1.0337222564477464
1.677,4,0.10714709613880044
1.6871,4,-0.6392043935061419
1.6972,4,-0.890321001129843
1.7072,4,-1.3677535961521077
1.7174,4,-0.8906584867211634
1.7275,4,-0.28381712955218624
1.7376,4,-0.7427465532811646
1.7477,4,38.39751443448989
1.7577,4,0.01104261988742973
1.7677,4,0.36963959512678873
1.7779,4,0.5138985111408534
1.7879,4,-0.07523560735861713
1.7979,4,-0.1611580214604708
1.808,4,0.39699515027828175
1.818,4,-0.5213962615201867
1.828,4,-0.17493482759443227
1.8381,4,0.2876548974859677
1.8482,4,1.010771836695974
1.8583,4,0.037211313809850835
1.8683,4,0.07885995527227291
1.8785,4,0.22167680429184
1.8886,4,0.44249019196075373
1.8987,4,0.9648873738720951
1.9087,4,1.3506363817840437
1.9188,4,1.8202744836867293
1.9289,4,2.492888786966553
1.9389,4,-0.13230467950799898
1.9489,4,0.02809585909144066
1.9591,4,0.04974359345077475
1.9691,4,0.04619276948002881
1.9793,4,0.04556844122710388
1.9894,4,0.04662422970347667
1.9995,4,0.046059447200462844
2.0096,4,0.04577023364395798
2.0198,4,0.047829218456375965
2.0298,4,0.12322184644585576
2.04,4,0.1439172776858185
2.0502,4,0.48001017114459554
2.0603,4,-0.000983736706057
2.0703,4,0.5040124918682848
2.0804,4,-0.000886462564582649
2.0906,4,-0.37727253019314844
2.1006,4,0.3665300726397643
2.1108,4,0.262282487197189
2.1209,4,-0.05630988848318724
2.131,4,0.1361565756390179
2.141,4,0.17040514131977805
2.1511,4,-0.062366993265546906
2.1613,4,0.04833414769549617
2.1714,4,-0.09231803609366496
2.1815,4,0.0894310143663348
2.1917,4,0.579829485981951
2.2017,4,-0.5025951829682955
2.2118,4,-0.35709898250900607
2.222,4,-0.3562990543470391
2.232,4,-0.33464110208700354
2.2421,4,-0.28507471821446717
2.2522,4,-0.8256795239730722
2.2622,4,0.054989737638020286
2.2722,4,-0.03987845543897985
2.2823,4,0.2592139152957946
2.2924,4,0.12911001860369478
2.3025,4,0.5295991528834213
2.3127,4,0.32824313431795904
2.3228,4,-0.49463616871688215
2.333,4,-0.11982809033628967
2.3431,4,-0.1991087929463442
2.3534,4,-0.32411244219657
2.3634,4,-0.5357187686806062
2.3734,4,-0.07510894632596665
2.3836,4,-0.24869739234738936
2.3937,4,-0.376753588359628
2.4037,4,0.22165062211084657
2.4137,4,-0.0357315168714855
2.4238,4,-0.2714455634866999
2.4338,4,-0.1763764568873447
2.4438,4,-0.2246148559360473
2.4539,4,-0.20327891482099653
2.464,4,-0.10770559207312792
2.4743,4,-0.17457712783195772
2.4844,4,-0.1851733627175782
2.4946,4,95.76838978660814
2.5046,4,75.3844198496113
2.5147,4,84.51598643793957
2.5247,4,81.47080074214627
2.5347,4,-1.1568281901553996
2.5448,4,-0.029800155342183717
2.5549,4,0.0046982666441131565
2.5649,4,-0.01843619305993544
2.5749,4,0.02072469637645744
2.585,4,0.006443124305200463
2.595,4,0.005852146189293382
2.6051,4,0.005903446786247598
2.6152,4,0.005927823124592472
2.6253,4,0.006012456000310385
2.6353,4,0.006068558794399013
2.6454,4,0.006349436030609278
2.6555,4,0.006426307558563312
2.6656,4,0.006488483666614093
2.6756,4,0.006553652527037327
2.6857,4,-0.1449258300107991
2.6957,4,-0.12902536732270706
2.7058,4,-0.11536611685240894
2.7158,4,-0.08943604541517922
2.7259,4,-0.08689403643236478
2.7359,4,-0.04525355138990093
2.746,4,-0.06105104324870079
2.7561,4,-0.05003739129580693
2.7661,4,-0.03826474589410819
2.7761,4,-0.027932870875803532
2.7862,4,-0.018782710080315644
2.7964,4,0.06260555155348248
2.8064,4,-0.0013948664025550035
2.8164,4,2.3879570146902593
2.8265,4,0.2806685019533606
2.8366,4,0.27861495258760205
2.8467,4,0.2756006656428897
2.8567,4,0.26962870561127217
2.8668,4,0.2667986800783142
2.8769,4,0.26253556694504704
2.8871,4,0.2542959940426507
2.8972,4,0.2501300584401675
2.9073,4,0.2404736628486462
2.9173,4,0.22051329634118333
2.9274,4,0.21849736108705783
2.9375,4,0.20831030542593634
2.9475,4,0.2078326656115664
2.9575,4,0.1684712509606043
2.9676,4,0.24613670217322553
2.9776,4,0.16503026087755482
2.9876,4,0.22465087915977788
2.9976,4,0.13687957862618155
3.0077,4,0.12449254773360897
3.0177,4,0.10786013191690688
3.0278,4,0.09152462643477137
3.0379,4,0.07336104739982574
3.0479,4,0.00038080014094385634
3.058,4,0.04050288245656338
3.068,4,0.0821304568863773
3.0781,4,0.007201875454836974
3.0881,4,-0.00912413996627397
3.0982,4,-0.024965934562455133
3.1082,4,0.0568935277216198
3.1182,4,-0.05099781572145379
3.1283,4,-0.06503207543553063
3.1383,4,-0.0780175909677927
3.1484,4,-0.09004335514158922
3.1584,4,-0.10036899200287631
3.1685,4,-0.11259873775521197
3.1785,4,-0.12229105444175754
3.1885,4,-0.1306040063194505
3.1986,4,-0.13779902139609157
3.2086,4,-0.14383550694711694
3.2187,4,-0.14849390444318045
3.2288,4,-0.15647666635478036
3.2388,4,-0.07832892611385325
3.2489,4,-0.08447077186310417
3.2589,4,-0.08969693691077626
3.269,4,-0.0935116281337404
3.279,4,-0.09583939854070049
3.2891,4,-0.09683222999772487
3.2991,4,-0.09643158093253056
3.3092,4,-0.0944697353824668
3.3192,4,-0.09115284202369768
3.3293,4,-0.08621894070850754
3.3393,4,-0.07990573614970227
3.3494,4,-0.07338132499337967
3.3594,4,-0.04388638486029483
3.3695,4,-0.11251958780224407
3.3796,4,-0.1113398015111713
3.3897,4,-0.09925970102994013
3.3998,4,-0.07628703989803813
3.4098,4,-0.05267176879498465
3.4198,4,-0.02849082908075005
3.4299,4,-0.005145381600028135
3.44,4,0.01897910239429059
3.45,4,0.042922073783101145
3.4601,4,0.06557033899502247
3.4701,4,0.08912867887175148
3.4801,4,0.11192741539043966
3.4902,4,0.13273889477540432
